conforming_loan_limit,preapproval,loan_term,aus_1,applicant_age,applicant_credit_score_type,combined_loan_to_value_ratio,property_value,income,debt_to_income_ratio,loan_amount,applicant_ethnicity_1,applicant_race_1,applicant_sex,action_taken
1,0,39,0,0,2,81.95,615000.0,107.0,13,505000.0,2,5,0,0
1,0,39,0,0,0,105.89,255000.0,42.0,14,265000.0,2,4,1,0
1,0,39,0,0,2,96.5,465000.0,50.0,19,445000.0,0,4,1,0
1,0,39,0,0,0,93.64,335000.0,48.0,17,305000.0,1,4,0,0
1,0,39,1,0,1,90.0,185000.0,28.0,17,165000.0,0,4,1,0
1,0,39,0,0,0,97.0,225000.0,38.0,17,225000.0,1,2,1,0
1,0,39,1,0,1,95.0,95000.0,19.0,17,85000.0,1,1,0,0
1,0,39,0,0,2,97.0,245000.0,42.0,17,235000.0,1,4,1,0
1,0,39,1,0,1,96.89,185000.0,32.0,19,175000.0,0,4,0,0
1,0,39,0,0,1,80.0,235000.0,4.0,19,185000.0,0,4,0,0
1,0,39,0,0,1,95.0,245000.0,35.0,17,225000.0,1,4,1,0
1,0,39,1,0,1,101.53,285000.0,103.0,8,285000.0,1,2,1,0
1,0,39,0,0,6,95.0,105000.0,18.0,19,95000.0,1,1,0,0
1,0,39,1,0,2,80.0,215000.0,60.0,2,175000.0,1,4,1,0
1,0,39,0,0,1,87.64,445000.0,80.0,8,395000.0,1,4,0,0
1,0,39,1,0,1,82.8,465000.0,83.0,17,385000.0,1,2,1,0
1,0,39,0,0,1,105.78,265000.0,54.0,17,275000.0,0,4,0,0
1,0,39,0,0,2,99.88,205000.0,54.0,17,205000.0,1,2,1,0
1,0,39,1,0,1,109.52,155000.0,80.0,18,165000.0,0,4,1,0
1,0,39,0,0,0,96.5,215000.0,34.0,19,215000.0,1,4,0,0
1,0,39,0,0,2,103.7,135000.0,55.0,2,145000.0,1,4,0,0
2,0,39,5,0,2,80.0,905000.0,240.0,2,715000.0,0,4,0,0
1,0,39,0,0,1,88.84,215000.0,31.0,17,195000.0,1,0,1,0
1,0,39,0,0,1,80.0,215000.0,27.0,17,175000.0,1,4,1,0
1,0,39,0,0,2,118.12,225000.0,67.0,6,265000.0,1,4,1,0
1,0,39,1,0,1,105.24,255000.0,72.0,8,275000.0,1,4,0,0
1,0,39,0,0,2,96.5,165000.0,94.0,7,155000.0,1,4,0,0
1,0,39,0,0,0,95.0,395000.0,50.0,19,375000.0,1,3,0,0
1,0,39,0,0,2,135.61,155000.0,80.0,17,215000.0,2,5,0,0
1,0,39,0,0,2,85.0,365000.0,51.0,15,315000.0,1,4,1,0
1,0,39,0,0,1,88.94,455000.0,75.0,17,405000.0,0,3,1,0
1,0,39,1,0,2,79.28,195000.0,25.0,19,155000.0,1,1,1,0
1,0,39,0,0,1,91.67,405000.0,86.0,7,385000.0,1,1,1,0
1,0,39,0,0,2,96.5,375000.0,71.0,19,365000.0,0,4,0,0
1,0,39,0,0,1,95.0,425000.0,113.0,19,405000.0,2,5,0,0
1,0,39,0,0,0,122.96,355000.0,97.0,16,435000.0,1,1,1,0
1,0,39,1,0,1,97.0,205000.0,43.0,10,195000.0,1,4,0,0
1,0,39,0,0,6,95.0,395000.0,50.0,19,375000.0,1,3,0,0
1,0,39,0,0,1,96.5,135000.0,49.0,19,125000.0,1,4,1,0
1,0,39,0,0,0,90.0,545000.0,60.0,17,385000.0,0,2,1,0
1,0,39,0,0,2,111.04,155000.0,47.0,4,165000.0,2,4,0,0
1,0,39,0,0,1,113.95,175000.0,85.0,1,195000.0,1,4,0,0
1,0,39,0,0,2,95.0,245000.0,32.0,19,235000.0,1,4,0,0
1,0,39,0,0,0,97.0,165000.0,33.0,15,165000.0,0,4,1,0
1,0,39,0,0,2,106.18,245000.0,47.0,10,255000.0,1,4,0,0
1,0,39,0,0,6,93.86,195000.0,57.0,13,185000.0,0,4,1,0
1,0,39,0,0,2,111.15,195000.0,58.0,13,225000.0,0,4,1,0
1,0,39,0,0,2,75.0,395000.0,24.0,19,295000.0,1,1,0,0
2,0,39,5,0,0,77.78,905000.0,127.0,7,695000.0,1,1,1,0
1,0,39,1,0,2,80.0,295000.0,32.0,17,235000.0,0,4,0,0
1,0,39,0,0,0,90.28,215000.0,84.0,1,195000.0,0,4,0,0
1,0,39,0,0,6,95.0,205000.0,37.0,19,195000.0,0,4,0,0
1,0,39,1,0,1,89.6,155000.0,32.0,12,135000.0,1,4,0,0
1,0,39,0,0,2,93.28,385000.0,47.0,17,345000.0,0,5,0,0
1,0,39,0,0,2,96.5,195000.0,42.0,17,195000.0,1,2,1,0
1,0,39,1,0,1,90.0,375000.0,78.0,4,335000.0,2,1,0,0
1,0,39,0,0,0,96.5,325000.0,46.0,19,305000.0,1,4,0,0
1,0,39,1,0,6,118.8,265000.0,78.0,12,315000.0,1,4,0,0
1,0,39,1,0,2,105.04,245000.0,78.0,11,255000.0,1,4,0,0
1,0,39,0,0,1,95.0,775000.0,142.0,14,745000.0,2,5,0,0
1,0,39,0,0,1,80.0,275000.0,53.0,13,225000.0,1,4,1,0
1,0,39,0,0,1,85.0,265000.0,66.0,2,225000.0,1,4,0,0
1,0,39,0,0,1,86.17,235000.0,124.0,2,205000.0,0,4,0,0
1,0,39,0,0,2,85.0,295000.0,44.0,19,255000.0,1,4,0,0
1,0,39,0,0,2,106.18,245000.0,53.0,6,255000.0,1,4,0,0
